path,size,mtime,header,db2_write,guard_bypass,clase,justificacion,proposed_path
backend/scripts/_e2e_perfil_reparto_probe.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual perfil reparto,archive/oneoff/_e2e_perfil_reparto_probe.js
backend/scripts/_e2e_perfil_reparto_writes.js,n/a,n/a,header-no-leido;_scratch-e2e-write,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual escrituras perfil (solo test),archive/oneoff/_e2e_perfil_reparto_writes.js
backend/scripts/_e2e_post_confirm_overlay.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual overlay post-confirm,archive/oneoff/_e2e_post_confirm_overlay.js
backend/scripts/_e2e_probe_evidence_insert.js,n/a,n/a,header-no-leido;_scratch-e2e-write,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual insert evidencia test,archive/oneoff/_e2e_probe_evidence_insert.js
backend/scripts/_e2e_reparto_boss_gate.js,n/a,n/a,header-no-leido;_scratch-e2e,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; e2e puntual boss gate,archive/oneoff/_e2e_reparto_boss_gate.js
backend/scripts/_fix_finanzas_logger.js,n/a,n/a,header-no-leido;_scratch-fix,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; fix puntual logger finanzas,archive/oneoff/_fix_finanzas_logger.js
backend/scripts/_fix_historico_cycle.js,n/a,n/a,header-no-leido;_scratch-fix,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; fix puntual ciclo historico,archive/oneoff/_fix_historico_cycle.js
backend/scripts/_fix_historico_status.js,n/a,n/a,header-no-leido;_scratch-fix,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; fix puntual estado historico,archive/oneoff/_fix_historico_status.js
backend/scripts/_fix_outbox_id_route.js,n/a,n/a,header-no-leido;_scratch-fix,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; fix puntual ruta outbox id,archive/oneoff/_fix_outbox_id_route.js
backend/scripts/_fix_role_corbalan.js,n/a,n/a,header-no-leido;_scratch-fix,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; fix puntual rol corbalan,archive/oneoff/_fix_role_corbalan.js
backend/scripts/_hit-bolsa-confirm-write.js,n/a,n/a,header-no-leido;_scratch-hit-write,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; hit puntual escritura confirma bolsa test,archive/oneoff/_hit-bolsa-confirm-write.js
backend/scripts/_hit-draft-purge-24h.js,n/a,n/a,header-no-leido;_scratch-hit,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; hit puntual purga borradores 24h,archive/oneoff/_hit-draft-purge-24h.js
backend/scripts/_hit-liquidacion-test-cobros.js,n/a,n/a,header-no-leido;_scratch-hit,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; hit puntual liquidacion cobros test,archive/oneoff/_hit-liquidacion-test-cobros.js
backend/scripts/_hit-rutero-verde-api.js,n/a,n/a,header-no-leido;_scratch-hit,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; hit puntual API rutero verde,archive/oneoff/_hit-rutero-verde-api.js
backend/scripts/_hit-rutero-verde-seed.js,n/a,n/a,header-no-leido;_scratch-hit-seed,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; hit puntual seed rutero verde,archive/oneoff/_hit-rutero-verde-seed.js
backend/scripts/_inspect-test-pg-sample.js,n/a,n/a,header-no-leido;_scratch-inspect,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inspect puntual muestra PG test,archive/oneoff/_inspect-test-pg-sample.js
backend/scripts/_inspect-test-pg.js,n/a,n/a,header-no-leido;_scratch-inspect,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inspect puntual PG test,archive/oneoff/_inspect-test-pg.js
backend/scripts/_inspect_commission_tiers.js,n/a,n/a,header-no-leido;_scratch-inspect,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inspect puntual tiers comision,archive/oneoff/_inspect_commission_tiers.js
backend/scripts/_inventory_reparto_sources.js,n/a,n/a,header-no-leido;_scratch-inventory,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inventario puntual fuentes reparto (superado por WS1),archive/oneoff/_inventory_reparto_sources.js
backend/scripts/_inventory_table_mappings.js,n/a,n/a,header-no-leido;_scratch-inventory,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; inventario puntual mapeos tablas (superado por WS1),archive/oneoff/_inventory_table_mappings.js
backend/scripts/_login-probe.js,n/a,n/a,header-no-leido;_scratch-probe,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual login,archive/oneoff/_login-probe.js
backend/scripts/_login_role_probe.js,n/a,n/a,header-no-leido;_scratch-probe,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual rol login,archive/oneoff/_login_role_probe.js
backend/scripts/_parse_pm2_reparto.js,n/a,n/a,header-no-leido;_scratch-parse,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; parse puntual PM2 reparto,archive/oneoff/_parse_pm2_reparto.js
backend/scripts/_patch-cobros-repo.js,n/a,n/a,header-no-leido;_scratch-patch,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; parche puntual repo cobros v1,archive/oneoff/_patch-cobros-repo.js
backend/scripts/_patch-cobros-repo2.js,n/a,n/a,header-no-leido;_scratch-patch,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; parche puntual repo cobros v2,archive/oneoff/_patch-cobros-repo2.js
backend/scripts/_patch-cobros-repo3.js,n/a,n/a,header-no-leido;_scratch-patch,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; parche puntual repo cobros v3,archive/oneoff/_patch-cobros-repo3.js
backend/scripts/_patch-cobros-repo4.js,n/a,n/a,header-no-leido;_scratch-patch,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; parche puntual repo cobros v4,archive/oneoff/_patch-cobros-repo4.js
backend/scripts/_patch-cobros-repo5.js,n/a,n/a,header-no-leido;_scratch-patch,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; parche puntual repo cobros v5,archive/oneoff/_patch-cobros-repo5.js
backend/scripts/_print_mint_meta.js,n/a,n/a,header-no-leido;_scratch-mint,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; impresion puntual meta mint,archive/oneoff/_print_mint_meta.js
backend/scripts/_probe-bolsa-backfill-discounted.js,n/a,n/a,header-no-leido;_scratch-probe,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual backfill bolsa descontada,archive/oneoff/_probe-bolsa-backfill-discounted.js
backend/scripts/_probe-bolsa-liq-cobros-reverify.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual reverificacion bolsa-liq-cobros,archive/oneoff/_probe-bolsa-liq-cobros-reverify.js
backend/scripts/_probe-bolsa-write-hit.js,n/a,n/a,header-no-leido;_scratch-probe-write,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual escritura bolsa test,archive/oneoff/_probe-bolsa-write-hit.js
backend/scripts/_probe-cobros-sample.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual muestra cobros,archive/oneoff/_probe-cobros-sample.js
backend/scripts/_probe-confirmados-fechareparto.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual confirmados fechareparto,archive/oneoff/_probe-confirmados-fechareparto.js
backend/scripts/_probe-liq-cobros-cols.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual columnas liq-cobros,archive/oneoff/_probe-liq-cobros-cols.js
backend/scripts/_probe-liq-cobros-evidence.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual evidencia liq-cobros,archive/oneoff/_probe-liq-cobros-evidence.js
backend/scripts/_probe-pedido67-bolsa.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual pedido67 bolsa,archive/oneoff/_probe-pedido67-bolsa.js
backend/scripts/_probe-senior-verdict-claims.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual veredicto claims,archive/oneoff/_probe-senior-verdict-claims.js
backend/scripts/_probe_albaran_detail.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual detalle albaran,archive/oneoff/_probe_albaran_detail.js
backend/scripts/_probe_appusuarios.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual appusuarios,archive/oneoff/_probe_appusuarios.js
backend/scripts/_probe_commercial_rutero_live.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual rutero comercial (lectura),archive/oneoff/_probe_commercial_rutero_live.js
backend/scripts/_probe_corbalan.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual corbalan,archive/oneoff/_probe_corbalan.js
backend/scripts/_probe_cvc_lqd_firmas.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual firmas CVC/LQD,archive/oneoff/_probe_cvc_lqd_firmas.js
backend/scripts/_probe_decimal_qty.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual cantidades decimales,archive/oneoff/_probe_decimal_qty.js
backend/scripts/_probe_dim_vendedor.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual dim vendedor,archive/oneoff/_probe_dim_vendedor.js
backend/scripts/_probe_emails_fix.js,n/a,n/a,header-no-leido;_scratch-probe,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual fix emails,archive/oneoff/_probe_emails_fix.js
backend/scripts/_probe_emails_v2.js,n/a,n/a,header-no-leido;_scratch-probe,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual emails v2,archive/oneoff/_probe_emails_v2.js
backend/scripts/_probe_finanzas_tabs.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual tabs finanzas,archive/oneoff/_probe_finanzas_tabs.js
backend/scripts/_probe_gps_lac.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual GPS LAC,archive/oneoff/_probe_gps_lac.js
backend/scripts/_probe_javier_table_sizes.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual tamanos tablas JAVIER,archive/oneoff/_probe_javier_table_sizes.js
backend/scripts/_probe_lqd_indexes.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual indices LQD,archive/oneoff/_probe_lqd_indexes.js
backend/scripts/_probe_lqd_insert.js,n/a,n/a,header-no-leido;_scratch-probe-write,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual insert LQD test,archive/oneoff/_probe_lqd_insert.js
backend/scripts/_probe_lqd_overlap.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual solape LQD,archive/oneoff/_probe_lqd_overlap.js
backend/scripts/_probe_notification_emails_hours.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual emails notificacion,archive/oneoff/_probe_notification_emails_hours.js
backend/scripts/_probe_readiness_data.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual datos readiness,archive/oneoff/_probe_readiness_data.js
backend/scripts/_probe_rutero_orden.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual orden rutero,archive/oneoff/_probe_rutero_orden.js
backend/scripts/_probe_table_name_mapping.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual mapeo nombres tabla,archive/oneoff/_probe_table_name_mapping.js
backend/scripts/_probe_targets_safe.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual targets safe v1,archive/oneoff/_probe_targets_safe.js
backend/scripts/_probe_targets_safe2.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual targets safe v2,archive/oneoff/_probe_targets_safe2.js
backend/scripts/_probe_test_cols.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual columnas test,archive/oneoff/_probe_test_cols.js
backend/scripts/_probe_test_seed_counts.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual conteos seed test,archive/oneoff/_probe_test_seed_counts.js
backend/scripts/_rebuild-test-lqd-pmrc.js,n/a,n/a,header-no-leido;_scratch-rebuild,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; rebuild puntual LQD/PMRC test,archive/oneoff/_rebuild-test-lqd-pmrc.js
backend/scripts/_receipt_capability_diag.js,n/a,n/a,header-no-leido;_scratch-diag,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; diagnostico puntual capability recibos,archive/oneoff/_receipt_capability_diag.js
backend/scripts/_receipt_retry.js,n/a,n/a,header-no-leido;_scratch-retry,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; reintento puntual recibos,archive/oneoff/_receipt_retry.js
backend/scripts/_repair_finance_repo.js,n/a,n/a,header-no-leido;_scratch-repair,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; reparacion puntual repo finanzas,archive/oneoff/_repair_finance_repo.js
backend/scripts/_repartidor-flag-probe.js,n/a,n/a,header-no-leido;_scratch-probe,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; probe puntual flag repartidor,archive/oneoff/_repartidor-flag-probe.js
backend/scripts/_reparto_audit_followup.js,n/a,n/a,header-no-leido;_scratch-audit,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; seguimiento puntual auditoria reparto,archive/oneoff/_reparto_audit_followup.js
backend/scripts/_reparto_full_endpoint_audit.js,n/a,n/a,header-no-leido;_scratch-audit,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; auditoria puntual endpoints reparto,archive/oneoff/_reparto_full_endpoint_audit.js
backend/scripts/_restore_carlos_30.js,n/a,n/a,header-no-leido;_scratch-restore,YES,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; restauracion puntual caso carlos 30,archive/oneoff/_restore_carlos_30.js
backend/scripts/_server-gap-check.js,n/a,n/a,header-no-leido;_scratch-check,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; check puntual gaps servidor,archive/oneoff/_server-gap-check.js
backend/scripts/_ssh_mint_repartidor_jwt.js,n/a,n/a,header-no-leido;_scratch-ssh-mint,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; mint puntual JWT repartidor via SSH,archive/oneoff/_ssh_mint_repartidor_jwt.js
backend/scripts/_tmp-count-test-copy.js,n/a,n/a,header-no-leido;_scratch-tmp,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; conteo puntual copia test,archive/oneoff/_tmp-count-test-copy.js
backend/scripts/_tmp-emulator-7flows.js,n/a,n/a,header-no-leido;_scratch-tmp,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; flujos emulador puntuales 7flows,archive/oneoff/_tmp-emulator-7flows.js
backend/scripts/_tmp-tunnel-7flows.js,n/a,n/a,header-no-leido;_scratch-tmp,UNKNOWN,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; tunel puntual 7flows,archive/oneoff/_tmp-tunnel-7flows.js
backend/scripts/_validate_reparto_runtime.js,n/a,n/a,header-no-leido;_scratch-validate,NO,N-A,ARCHIVE-ONEOFF,_-scratch gitignored; validacion puntual runtime reparto (canon vive en backend/config),archive/oneoff/_validate_reparto_runtime.js
backend/scripts/agent1-dsedac-discovery.js,n/a,n/a,const odbc=require('odbc'),NO,NO,TOOL-REUSABLE,descubrimiento DSEDAC solo lectura; reutilizable para WS inventario,tools/agent1-dsedac-discovery.js
backend/scripts/agent3-column-mapping.js,n/a,n/a,const odbc=require('odbc'),NO,NO,TOOL-REUSABLE,mapeo columnas solo lectura; reutilizable alineamiento,tools/agent3-column-mapping.js
backend/scripts/align-javier-dsedac-additive.js,n/a,n/a,const odbc=require('odbc')+ALTER JAVIER,YES,YES-sin-guard,TOOL-REUSABLE,ref package.json db2:align-javier-dsedac; DDL aditivo solo JAVIER (nunca DSEDAC),tools/align-javier-dsedac-additive.js
backend/scripts/apply-bolsa-pricing-config.js,n/a,n/a,CREATE TABLE JAVIER.BOLSA_PRODUCTO_PRECIO,YES,YES-sin-guard,UNCLEAR-RISKY,crea tabla pricing + writes sin guard; revisar alcance prod antes de archivar,review/risky/apply-bolsa-pricing-config.js
backend/scripts/apply-laclae-monthly.js,n/a,n/a,INSERT/UPDATE/DELETE/DROP JAVIER.LACLAE_MONTHLY,YES,YES-sin-guard,UNCLEAR-RISKY,contiene DELETE/DROP TABLE + INSERT segun grep; uso mensual con bypass posible,review/risky/apply-laclae-monthly.js
backend/scripts/apply-objetivos-2026-ago-dic.js,n/a,n/a,UPDATE/INSERT JAVIER.COMMERCIAL_TARGETS,YES,YES-sin-guard,UNCLEAR-RISKY,UPDATE+INSERT directos segun grep; ventana ago-dic-2026 ligada a temp/,review/risky/apply-objetivos-2026-ago-dic.js
backend/scripts/apply-test-talon-ddl.js,n/a,n/a,ALTER TABLE ... ADD COLUMN (TEST),YES,NO,TOOL-REUSABLE,DDL acotado a tablas TEST_*; reutilizable talon,tools/apply-test-talon-ddl.js
backend/scripts/audit-api-live-readonly.js,n/a,n/a,header-no-leido;audit-readonly,NO,NO,TOOL-REUSABLE,nombre y patron readonly; auditoria API reutilizable,tools/audit-api-live-readonly.js
backend/scripts/audit-commercial-cobros-readonly.js,n/a,n/a,const odbc=require('odbc')+readonly,NO,NO,TOOL-REUSABLE,ref package.json db2:audit-commercial-cobros; reconcilia DSEDAC.CVC en lectura,tools/audit-commercial-cobros-readonly.js
backend/scripts/audit-keysets-readonly.js,n/a,n/a,const odbc=require('odbc'),NO,NO,TOOL-REUSABLE,patron readonly keysets; reutilizable,tools/audit-keysets-readonly.js
backend/scripts/benchmark-endpoints.js,n/a,n/a,header-no-leido;benchmark,NO,N-A,ARCHIVE-ONEOFF,benchmark puntual endpoints; sin reuso previsto,archive/oneoff/benchmark-endpoints.js
backend/scripts/capture-families-api-contract.js,n/a,n/a,header-no-leido;capture-contract,NO,N-A,ARCHIVE-ONEOFF,captura puntual contrato familias API,archive/oneoff/capture-families-api-contract.js
backend/scripts/cert-mandate-probe.js,n/a,n/a,header-no-leido;cert-probe+odbcErrors,UNKNOWN,YES-sin-guard,UNCLEAR-RISKY,probe mandato con acceso DB2 y sin guard; alcance incierto,review/risky/cert-mandate-probe.js
backend/scripts/cert-matrix-audit.js,n/a,n/a,const odbc + DELETE FROM DSEDAC.CRC,YES,YES-sin-guard,UNCLEAR-RISKY,"grep: DELETE FROM DSEDAC.CRC (linea 338) + DELETE JAVIER.COBROS; ESCRIBE ERP SIN assertNoDsedacWrite; maximo riesgo",review/risky/cert-matrix-audit.js
backend/scripts/certify-reparto-confirm-local.js,n/a,n/a,header-no-leido;certify-confirm,YES,YES-sin-guard,UNCLEAR-RISKY,certifica confirmaciones (posible write) sin guard visible,review/risky/certify-reparto-confirm-local.js
backend/scripts/check-auth-pin-readiness.js,n/a,n/a,header-no-leido;check-readiness,NO,NO,TOOL-REUSABLE,check readiness PIN sin writes; reutilizable,tools/check-auth-pin-readiness.js
backend/scripts/check-cpc-join.js,n/a,n/a,const odbc + SELECT DSEDAC.CVC/CPC,NO,NO,TOOL-REUSABLE,verificacion joins CVC/CPC solo lectura,tools/check-cpc-join.js
backend/scripts/check-firmas-columns.js,n/a,n/a,const odbc + requireEnv ODBC,NO,NO,TOOL-REUSABLE,check columnas firmas solo lectura con env,tools/check-firmas-columns.js
backend/scripts/check-vendor-05.js,n/a,n/a,header-no-leido;check-vendor,NO,NO,TOOL-REUSABLE,check puntual vendor 05 lectura; reutilizable,tools/check-vendor-05.js
backend/scripts/check_config_data.js,n/a,n/a,header-no-leido;check-config,NO,NO,TOOL-REUSABLE,check datos configuracion lectura,tools/check_config_data.js
backend/scripts/cleanup-repartidor-finance-test-data.js,n/a,n/a,Uso: node scripts/cleanup...,YES,NO,TOOL-REUSABLE,ref package.json finance:cleanup; borra solo datos TEST por idempotency_token,tools/cleanup-repartidor-finance-test-data.js
backend/scripts/commercial-readiness-battery.js,n/a,n/a,const odbc + dbConnect,NO,NO,TOOL-REUSABLE,bateria readiness reutilizable (pool-first ODBC opcional),tools/commercial-readiness-battery.js
backend/scripts/commercial-test-aux-tables.js,n/a,n/a,CREATE/ALTER TABLE JAVIER.TEST_*,YES,NO,TOOL-REUSABLE,DDL acotado TEST_* (LIKE + PK/UNIQUE); reutilizable seed comercial,tools/commercial-test-aux-tables.js
backend/scripts/compare-javier-dsedac-alignment.js,n/a,n/a,const odbc + ALTER generados,YES,YES-sin-guard,TOOL-REUSABLE,ref package.json; genera ALTER aditivos JAVIER (referencia pilar2-catalog-audit),tools/compare-javier-dsedac-alignment.js
backend/scripts/compare-schemas.js,n/a,n/a,const odbc + pool query,NO,NO,TOOL-REUSABLE,comparacion schemas solo lectura,tools/compare-schemas.js
backend/scripts/copy-comercial-erp-to-test.js,n/a,n/a,INSERT INTO JAVIER.TEST_* SELECT FROM DSEDAC,YES,NO,TOOL-REUSABLE,copia ERP->TEST (CREATE LIKE + INSERT SELECT + DELETE dest); nunca escribe DSEDAC segun header,tools/copy-comercial-erp-to-test.js
backend/scripts/copy-javier-prod-to-test.js,n/a,n/a,ERP_CVC=DSEDAC.CVC lectura,YES,NO,TOOL-REUSABLE,copia PROD->TEST buffers JAVIER; lectura ERP,tools/copy-javier-prod-to-test.js
backend/scripts/create_v_dim_cliente.js,n/a,n/a,header-no-leido;odbcErrors+CREATE VIEW,YES,YES-sin-guard,UNCLEAR-RISKY,crea vista dimension cliente en DB2 sin guard visible,review/risky/create_v_dim_cliente.js
